"ISIC Rev 5 Code","ISIC Rev 5 Title"
"8791","Intermediation service activities for residential care activities"
"8799","Other residential care activities n.e.c."
"88","Social work activities without accommodation "
"881","Social work activities without accommodation for older persons or persons with disabilities"
"8810","Social work activities without accommodation for older persons or persons with disabilities"
"889","Other social work activities without accommodation"
"8890","Other social work activities without accommodation"
"S","Arts, sports and recreation"
"90","Arts creation and performing arts activities"
"901","Arts creation activities"
"9011","Literary creation and musical composition activities"
"9012","Visual arts creation activities "
"9013","Other arts creation activities "
"902","Activities of performing arts "
"9020","Activities of performing arts "
"903","Support activities to arts creation and performing arts"
"9031","Operation of arts facilities and sites "
"9039","Other support activities to arts creation and performing arts"
"91","Library, archives, museum and other cultural activities "
"911","Library and archive activities"
"9111","Library activities"
"9112","Archive activities"
"912","Museum, collection, historical site and monument activities"
"9121","Museum and collection activities "
"9122","Historical site and monument activities"
"913","Conservation, restoration and other support activities for cultural heritage "
"9130","Conservation, restoration and other support activities for cultural heritage "
"914","Botanical and zoological garden and nature reserve activities"
"9141","Botanical and zoological garden activities "
"9142","Nature reserve activities"
"92","Gambling and betting activities"
"920","Gambling and betting activities"
"9200","Gambling and betting activities"
"93","Sports activities and amusement and recreation activities"
"931","Sports activities "
"9311","Operation of sports facilities"
"9312","Activities of sports clubs "
"9319","Other sports activities "
"932","Amusement and recreation activities "
"9321","Activities of amusement parks and theme parks"
"9329","Other amusement and recreation activities"
"T","Other service activities"
"94","Activities of membership organizations"
"941","Activities of business, employers and professional membership organizations"
"9411","Activities of business and employers membership organizations"
"9412","Activities of professional membership organizations"
"942","Activities of trade unions"
"9420","Activities of trade unions"
"949","Activities of other membership organizations"
"9491","Activities of religious organizations"
"9492","Activities of political organizations"
"9499","Activities of other membership organizations n.e.c."
"95","Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
"951","Repair and maintenance of computers and communication equipment"
"9510","Repair and maintenance of computers and communication equipment"
"952","Repair and maintenance of personal and household goods"
"9521","Repair and maintenance of consumer electronics"
"9522","Repair and maintenance of household appliances and home and garden equipment"
"9523","Repair and maintenance of footwear and leather goods"
"9524","Repair and maintenance of furniture and home furnishings"
"9529","Repair and maintenance of other personal and household goods"
"953","Repair and maintenance of motor vehicles and motorcycles"
"9531","Repair and maintenance of motor vehicles"
"9532","Repair and maintenance of motorcycles"
"954","Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
"9540","Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
"96","Personal service activities"
"961","Washing and cleaning of textile and fur products"
"9610","Washing and cleaning of textile and fur products"
"962","Hairdressing, beauty treatment, day spa and similar activities"
"9621","Hairdressing and barber activities"
"9622","Beauty care and other beauty treatment activities"
"9623","Day spa, sauna and steam bath activities"
"963","Funeral and related activities"
"9630","Funeral and related activities"
"964","Intermediation service activities for personal services"
"9640","Intermediation service activities for personal services"
"969","Other personal service activities n.e.c."
"9690","Other personal service activities n.e.c."
"U","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use"
"97","Activities of households as employers of domestic personnel"
"970","Activities of households as employers of domestic personnel"
"9700","Activities of households as employers of domestic personnel"
"98","Undifferentiated goods- and services-producing activities of private households for own use"
"981","Undifferentiated goods-producing activities of private households for own use"
"9810","Undifferentiated goods-producing activities of private households for own use"
"982","Undifferentiated service-producing activities of private households for own use"
"9820","Undifferentiated service-producing activities of private households for own use"
"V","Activities of extraterritorial organizations and bodies "
"99","Activities of extraterritorial organizations and bodies "
"990","Activities of extraterritorial organizations and bodies "
"9900","Activities of extraterritorial organizations and bodies "
