NACE21_CODE	LEVEL	NACE21_HEADING	NACE2_CODE	NACE2_HEADING	Common_Content	Mapping_Type
"23.66"	"4"	"23.66 Manufacture of other articles of concrete, cement and plaster"	"23.69"	"23.69 Manufacture of other articles of concrete, plaster and cement"		"NACE Rev. 2.1 class 23.66 is mapped to NACE Rev. 2 classes 22.23, 23.69"
"23.7"	"3"	"23.7 Cutting, shaping and finishing of stone"	"23.7"	"23.7 Cutting, shaping and finishing of stone"		"NACE Rev. 2.1 group 23.7 is mapped to NACE Rev. 2 group 23.7"
"23.70"	"4"	"23.70 Cutting, shaping and finishing of stone"	"23.70"	"23.70 Cutting, shaping and finishing of stone"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 23.70 is mapped to NACE Rev. 2 class 23.70"
"23.9"	"3"	"23.9 Manufacture of abrasive products and non-metallic mineral products n.e.c."	"13.2"	"13.2 Weaving of textiles"		"NACE Rev. 2.1 group 23.9 is mapped to NACE Rev. 2 groups 13.2, 23.9"
"23.9"	"3"	"23.9 Manufacture of abrasive products and non-metallic mineral products n.e.c."	"23.9"	"23.9 Manufacture of abrasive products and non-metallic mineral products n.e.c."		"NACE Rev. 2.1 group 23.9 is mapped to NACE Rev. 2 groups 13.2, 23.9"
"23.91"	"4"	"23.91 Manufacture of abrasive products"	"23.91"	"23.91 Production of abrasive products"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 23.91 is mapped to NACE Rev. 2 class 23.91"
"23.99"	"4"	"23.99 Manufacture of other non-metallic mineral products n.e.c."	"13.20"	"13.20 Weaving of textiles"		"NACE Rev. 2.1 class 23.99 is mapped to NACE Rev. 2 classes 13.20, 23.99"
"23.99"	"4"	"23.99 Manufacture of other non-metallic mineral products n.e.c."	"23.99"	"23.99 Manufacture of other non-metallic mineral products n.e.c."		"NACE Rev. 2.1 class 23.99 is mapped to NACE Rev. 2 classes 13.20, 23.99"
"24"	"2"	"24 Manufacture of basic metals"	"24"	"24 Manufacture of basic metals"		"NACE Rev. 2.1 division 24 is mapped to NACE Rev. 2 division 24"
"24.1"	"3"	"24.1 Manufacture of basic iron and steel and of ferro-alloys"	"24.1"	"24.1 Manufacture of basic iron and steel and of ferro-alloys"		"NACE Rev. 2.1 group 24.1 is mapped to NACE Rev. 2 group 24.1"
"24.10"	"4"	"24.10 Manufacture of basic iron and steel and of ferro-alloys"	"24.10"	"24.10 Manufacture of basic iron and steel and of ferro-alloys"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.10 is mapped to NACE Rev. 2 class 24.10"
"24.2"	"3"	"24.2 Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"	"24.2"	"24.2 Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"		"NACE Rev. 2.1 group 24.2 is mapped to NACE Rev. 2 group 24.2"
"24.20"	"4"	"24.20 Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"	"24.20"	"24.20 Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.20 is mapped to NACE Rev. 2 class 24.20"
"24.3"	"3"	"24.3 Manufacture of other products of first processing of steel"	"24.3"	"24.3 Manufacture of other products of first processing of steel"		"NACE Rev. 2.1 group 24.3 is mapped to NACE Rev. 2 group 24.3"
"24.31"	"4"	"24.31 Cold drawing of bars"	"24.31"	"24.31 Cold drawing of bars"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.31 is mapped to NACE Rev. 2 class 24.31"
"24.32"	"4"	"24.32 Cold rolling of narrow strip"	"24.32"	"24.32 Cold rolling of narrow strip"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.32 is mapped to NACE Rev. 2 class 24.32"
"24.33"	"4"	"24.33 Cold forming or folding"	"24.33"	"24.33 Cold forming or folding"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.33 is mapped to NACE Rev. 2 class 24.33"
"24.34"	"4"	"24.34 Cold drawing of wire"	"24.34"	"24.34 Cold drawing of wire"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.34 is mapped to NACE Rev. 2 class 24.34"
"24.4"	"3"	"24.4 Manufacture of basic precious and other non-ferrous metals"	"24.4"	"24.4 Manufacture of basic precious and other non-ferrous metals"		"NACE Rev. 2.1 group 24.4 is mapped to NACE Rev. 2 group 24.4"
"24.41"	"4"	"24.41 Precious metals production"	"24.41"	"24.41 Precious metals production"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.41 is mapped to NACE Rev. 2 class 24.41"
"24.42"	"4"	"24.42 Aluminium production"	"24.42"	"24.42 Aluminium production"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.42 is mapped to NACE Rev. 2 class 24.42"
"24.43"	"4"	"24.43 Lead, zinc and tin production"	"24.43"	"24.43 Lead, zinc and tin production"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.43 is mapped to NACE Rev. 2 class 24.43"
"24.44"	"4"	"24.44 Copper production"	"24.44"	"24.44 Copper production"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.44 is mapped to NACE Rev. 2 class 24.44"
"24.45"	"4"	"24.45 Other non-ferrous metal production"	"24.45"	"24.45 Other non-ferrous metal production"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.45 is mapped to NACE Rev. 2 class 24.45"
"24.46"	"4"	"24.46 Processing of nuclear fuel"	"24.46"	"24.46 Processing of nuclear fuel"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.46 is mapped to NACE Rev. 2 class 24.46"
"24.5"	"3"	"24.5 Casting of metals"	"24.5"	"24.5 Casting of metals"		"NACE Rev. 2.1 group 24.5 is mapped to NACE Rev. 2 group 24.5"
"24.51"	"4"	"24.51 Casting of iron"	"24.51"	"24.51 Casting of iron"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.51 is mapped to NACE Rev. 2 class 24.51"
"24.52"	"4"	"24.52 Casting of steel"	"24.52"	"24.52 Casting of steel"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.52 is mapped to NACE Rev. 2 class 24.52"
"24.53"	"4"	"24.53 Casting of light metals"	"24.53"	"24.53 Casting of light metals"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 24.53 is mapped to NACE Rev. 2 class 24.53"
"24.54"	"4"	"24.54 Casting of other non-ferrous metals"	"24.53"	"24.53 Casting of light metals"		"NACE Rev. 2.1 class 24.54 is mapped to NACE Rev. 2 classes 24.53, 24.54"
"24.54"	"4"	"24.54 Casting of other non-ferrous metals"	"24.54"	"24.54 Casting of other non-ferrous metals"		"NACE Rev. 2.1 class 24.54 is mapped to NACE Rev. 2 classes 24.53, 24.54"
"25"	"2"	"25 Manufacture of fabricated metal products, except machinery and equipment"	"25"	"25 Manufacture of fabricated metal products, except machinery and equipment"		"NACE Rev. 2.1 division 25 is mapped to NACE Rev. 2 division 25"
"25.1"	"3"	"25.1 Manufacture of structural metal products"	"25.1"	"25.1 Manufacture of structural metal products"		"NACE Rev. 2.1 group 25.1 is mapped to NACE Rev. 2 group 25.1"
"25.11"	"4"	"25.11 Manufacture of metal structures and parts of structures"	"25.11"	"25.11 Manufacture of metal structures and parts of structures"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.11 is mapped to NACE Rev. 2 class 25.11"
"25.12"	"4"	"25.12 Manufacture of doors and windows of metal"	"25.12"	"25.12 Manufacture of doors and windows of metal"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.12 is mapped to NACE Rev. 2 class 25.12"
"25.2"	"3"	"25.2 Manufacture of tanks, reservoirs and containers of metal"	"25.2"	"25.2 Manufacture of tanks, reservoirs and containers of metal"		"NACE Rev. 2.1 group 25.2 is mapped to NACE Rev. 2 groups 25.2, 25.3"
"25.2"	"3"	"25.2 Manufacture of tanks, reservoirs and containers of metal"	"25.3"	"25.3 Manufacture of steam generators, except central heating hot water boilers"		"NACE Rev. 2.1 group 25.2 is mapped to NACE Rev. 2 groups 25.2, 25.3"
"25.21"	"4"	"25.21 Manufacture of central heating radiators, steam generators and boilers"	"25.21"	"25.21 Manufacture of central heating radiators and boilers"		"NACE Rev. 2.1 class 25.21 is mapped to NACE Rev. 2 classes 25.21, 25.30"
"25.21"	"4"	"25.21 Manufacture of central heating radiators, steam generators and boilers"	"25.30"	"25.30 Manufacture of steam generators, except central heating hot water boilers"		"NACE Rev. 2.1 class 25.21 is mapped to NACE Rev. 2 classes 25.21, 25.30"
"25.22"	"4"	"25.22 Manufacture of other tanks, reservoirs and containers of metal"	"25.29"	"25.29 Manufacture of other tanks, reservoirs and containers of metal"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.22 is mapped to NACE Rev. 2 class 25.29"
"25.3"	"3"	"25.3 Manufacture of weapons and ammunition"	"25.4"	"25.4 Manufacture of weapons and ammunition"		"NACE Rev. 2.1 group 25.3 is mapped to NACE Rev. 2 group 25.4"
"25.30"	"4"	"25.30 Manufacture of weapons and ammunition"	"25.40"	"25.40 Manufacture of weapons and ammunition"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.30 is mapped to NACE Rev. 2 class 25.40"
"25.4"	"3"	"25.4 Forging and shaping metal and powder metallurgy"	"25.5"	"25.5 Forging, pressing, stamping and roll-forming of metal; powder metallurgy"		"NACE Rev. 2.1 group 25.4 is mapped to NACE Rev. 2 group 25.5"
"25.40"	"4"	"25.40 Forging and shaping metal and powder metallurgy"	"25.50"	"25.50 Forging, pressing, stamping and roll-forming of metal; powder metallurgy"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.40 is mapped to NACE Rev. 2 class 25.50"
"25.5"	"3"	"25.5 Treatment and coating of metals; machining"	"25.6"	"25.6 Treatment and coating of metals; machining"		"NACE Rev. 2.1 group 25.5 is mapped to NACE Rev. 2 group 25.6"
"25.51"	"4"	"25.51 Coating of metals"	"25.61"	"25.61 Treatment and coating of metals"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.51 is mapped to NACE Rev. 2 class 25.61"
"25.52"	"4"	"25.52 Heat treatment of metals"	"25.61"	"25.61 Treatment and coating of metals"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.52 is mapped to NACE Rev. 2 class 25.61"
"25.53"	"4"	"25.53 Machining of metals"	"25.61"	"25.61 Treatment and coating of metals"		"NACE Rev. 2.1 class 25.53 is mapped to NACE Rev. 2 classes 25.61, 25.62"
"25.53"	"4"	"25.53 Machining of metals"	"25.62"	"25.62 Machining"		"NACE Rev. 2.1 class 25.53 is mapped to NACE Rev. 2 classes 25.61, 25.62"
"25.6"	"3"	"25.6 Manufacture of cutlery, tools and general hardware"	"25.7"	"25.7 Manufacture of cutlery, tools and general hardware"		"NACE Rev. 2.1 group 25.6 is mapped to NACE Rev. 2 group 25.7"
"25.61"	"4"	"25.61 Manufacture of cutlery"	"25.71"	"25.71 Manufacture of cutlery"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.61 is mapped to NACE Rev. 2 class 25.71"
"25.62"	"4"	"25.62 Manufacture of locks and hinges"	"25.72"	"25.72 Manufacture of locks and hinges"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.62 is mapped to NACE Rev. 2 class 25.72"
"25.63"	"4"	"25.63 Manufacture of tools"	"25.73"	"25.73 Manufacture of tools"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.63 is mapped to NACE Rev. 2 class 25.73"
"25.9"	"3"	"25.9 Manufacture of other fabricated metal products"	"25.9"	"25.9 Manufacture of other fabricated metal products"		"NACE Rev. 2.1 group 25.9 is mapped to NACE Rev. 2 group 25.9"
"25.91"	"4"	"25.91 Manufacture of steel drums and similar containers"	"25.91"	"25.91 Manufacture of steel drums and similar containers"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.91 is mapped to NACE Rev. 2 class 25.91"
"25.92"	"4"	"25.92 Manufacture of light metal packaging"	"25.92"	"25.92 Manufacture of light metal packaging"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.92 is mapped to NACE Rev. 2 class 25.92"
"25.93"	"4"	"25.93 Manufacture of wire products, chain and springs"	"25.93"	"25.93 Manufacture of wire products, chain and springs"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.93 is mapped to NACE Rev. 2 class 25.93"
"25.94"	"4"	"25.94 Manufacture of fasteners and screw machine products"	"25.94"	"25.94 Manufacture of fasteners and screw machine products"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.94 is mapped to NACE Rev. 2 class 25.94"
"25.99"	"4"	"25.99 Manufacture of other fabricated metal products n.e.c."	"25.99"	"25.99 Manufacture of other fabricated metal products n.e.c."	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 25.99 is mapped to NACE Rev. 2 class 25.99"
"26"	"2"	"26 Manufacture of computer, electronic and optical products"	"26"	"26 Manufacture of computer, electronic and optical products"		"NACE Rev. 2.1 division 26 is mapped to NACE Rev. 2 divisions 26, 28, 32"
"26"	"2"	"26 Manufacture of computer, electronic and optical products"	"28"	"28 Manufacture of machinery and equipment n.e.c."		"NACE Rev. 2.1 division 26 is mapped to NACE Rev. 2 divisions 26, 28, 32"
"26"	"2"	"26 Manufacture of computer, electronic and optical products"	"32"	"32 Other manufacturing"		"NACE Rev. 2.1 division 26 is mapped to NACE Rev. 2 divisions 26, 28, 32"
"26.1"	"3"	"26.1 Manufacture of electronic components and boards"	"26.1"	"26.1 Manufacture of electronic components and boards"		"NACE Rev. 2.1 group 26.1 is mapped to NACE Rev. 2 group 26.1"
"26.11"	"4"	"26.11 Manufacture of electronic components"	"26.11"	"26.11 Manufacture of electronic components"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 26.11 is mapped to NACE Rev. 2 class 26.11"
"26.12"	"4"	"26.12 Manufacture of loaded electronic boards"	"26.12"	"26.12 Manufacture of loaded electronic boards"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 26.12 is mapped to NACE Rev. 2 class 26.12"
"26.2"	"3"	"26.2 Manufacture of computers and peripheral equipment"	"26.2"	"26.2 Manufacture of computers and peripheral equipment"		"NACE Rev. 2.1 group 26.2 is mapped to NACE Rev. 2 groups 26.2, 28.2"
"26.2"	"3"	"26.2 Manufacture of computers and peripheral equipment"	"28.2"	"28.2 Manufacture of other general-purpose machinery"		"NACE Rev. 2.1 group 26.2 is mapped to NACE Rev. 2 groups 26.2, 28.2"
"26.20"	"4"	"26.20 Manufacture of computers and peripheral equipment"	"26.20"	"26.20 Manufacture of computers and peripheral equipment"		"NACE Rev. 2.1 class 26.20 is mapped to NACE Rev. 2 classes 26.20, 28.23"
"26.20"	"4"	"26.20 Manufacture of computers and peripheral equipment"	"28.23"	"28.23 Manufacture of office machinery and equipment (except computers and peripheral equipment)"		"NACE Rev. 2.1 class 26.20 is mapped to NACE Rev. 2 classes 26.20, 28.23"
"26.3"	"3"	"26.3 Manufacture of communication equipment"	"26.3"	"26.3 Manufacture of communication equipment"		"NACE Rev. 2.1 group 26.3 is mapped to NACE Rev. 2 group 26.3"
"26.30"	"4"	"26.30 Manufacture of communication equipment"	"26.30"	"26.30 Manufacture of communication equipment"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 26.30 is mapped to NACE Rev. 2 class 26.30"
"26.4"	"3"	"26.4 Manufacture of consumer electronics"	"26.4"	"26.4 Manufacture of consumer electronics"		"NACE Rev. 2.1 group 26.4 is mapped to NACE Rev. 2 group 26.4"
"26.40"	"4"	"26.40 Manufacture of consumer electronics"	"26.40"	"26.40 Manufacture of consumer electronics"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 26.40 is mapped to NACE Rev. 2 class 26.40"
"26.5"	"3"	"26.5 Manufacture of measuring testing instruments, clocks and watches"	"26.3"	"26.3 Manufacture of communication equipment"		"NACE Rev. 2.1 group 26.5 is mapped to NACE Rev. 2 groups 26.3, 26.5"
"26.5"	"3"	"26.5 Manufacture of measuring testing instruments, clocks and watches"	"26.5"	"26.5 Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"		"NACE Rev. 2.1 group 26.5 is mapped to NACE Rev. 2 groups 26.3, 26.5"
"26.51"	"4"	"26.51 Manufacture of instruments and appliances for measuring, testing and navigation"	"26.30"	"26.30 Manufacture of communication equipment"		"NACE Rev. 2.1 class 26.51 is mapped to NACE Rev. 2 classes 26.30, 26.51"
"26.51"	"4"	"26.51 Manufacture of instruments and appliances for measuring, testing and navigation"	"26.51"	"26.51 Manufacture of instruments and appliances for measuring, testing and navigation"		"NACE Rev. 2.1 class 26.51 is mapped to NACE Rev. 2 classes 26.30, 26.51"
"26.52"	"4"	"26.52 Manufacture of watches and clocks"	"26.52"	"26.52 Manufacture of watches and clocks"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 26.52 is mapped to NACE Rev. 2 class 26.52"
"26.6"	"3"	"26.6 Manufacture of irradiation, electromedical and electrotherapeutic equipment"	"26.6"	"26.6 Manufacture of irradiation, electromedical and electrotherapeutic equipment"		"NACE Rev. 2.1 group 26.6 is mapped to NACE Rev. 2 groups 26.6, 32.5"
"26.6"	"3"	"26.6 Manufacture of irradiation, electromedical and electrotherapeutic equipment"	"32.5"	"32.5 Manufacture of medical and dental instruments and supplies"		"NACE Rev. 2.1 group 26.6 is mapped to NACE Rev. 2 groups 26.6, 32.5"
"26.60"	"4"	"26.60 Manufacture of irradiation, electromedical and electrotherapeutic equipment"	"26.60"	"26.60 Manufacture of irradiation, electromedical and electrotherapeutic equipment"		"NACE Rev. 2.1 class 26.60 is mapped to NACE Rev. 2 classes 26.60, 32.50"
"26.60"	"4"	"26.60 Manufacture of irradiation, electromedical and electrotherapeutic equipment"	"32.50"	"32.50 Manufacture of medical and dental instruments and supplies"		"NACE Rev. 2.1 class 26.60 is mapped to NACE Rev. 2 classes 26.60, 32.50"
"26.7"	"3"	"26.7 Manufacture of optical instruments, magnetic and optical media and photographic equipment"	"26.7"	"26.7 Manufacture of optical instruments and photographic equipment"		"NACE Rev. 2.1 group 26.7 is mapped to NACE Rev. 2 groups 26.7, 26.8"
"26.7"	"3"	"26.7 Manufacture of optical instruments, magnetic and optical media and photographic equipment"	"26.8"	"26.8 Manufacture of magnetic and optical media"		"NACE Rev. 2.1 group 26.7 is mapped to NACE Rev. 2 groups 26.7, 26.8"
"26.70"	"4"	"26.70 Manufacture of optical instruments, magnetic and optical media and photographic equipment"	"26.70"	"26.70 Manufacture of optical instruments and photographic equipment"		"NACE Rev. 2.1 class 26.70 is mapped to NACE Rev. 2 classes 26.70, 26.80"
"26.70"	"4"	"26.70 Manufacture of optical instruments, magnetic and optical media and photographic equipment"	"26.80"	"26.80 Manufacture of magnetic and optical media"		"NACE Rev. 2.1 class 26.70 is mapped to NACE Rev. 2 classes 26.70, 26.80"
"27"	"2"	"27 Manufacture of electrical equipment"	"26"	"26 Manufacture of computer, electronic and optical products"		"NACE Rev. 2.1 division 27 is mapped to NACE Rev. 2 divisions 26, 27, 28"
"27"	"2"	"27 Manufacture of electrical equipment"	"27"	"27 Manufacture of electrical equipment"		"NACE Rev. 2.1 division 27 is mapped to NACE Rev. 2 divisions 26, 27, 28"
"27"	"2"	"27 Manufacture of electrical equipment"	"28"	"28 Manufacture of machinery and equipment n.e.c."		"NACE Rev. 2.1 division 27 is mapped to NACE Rev. 2 divisions 26, 27, 28"
"27.1"	"3"	"27.1 Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"	"27.1"	"27.1 Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"		"NACE Rev. 2.1 group 27.1 is mapped to NACE Rev. 2 groups 27.1, 27.9"
"27.1"	"3"	"27.1 Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"	"27.9"	"27.9 Manufacture of other electrical equipment"		"NACE Rev. 2.1 group 27.1 is mapped to NACE Rev. 2 groups 27.1, 27.9"
"27.11"	"4"	"27.11 Manufacture of electric motors, generators and transformers"	"27.11"	"27.11 Manufacture of electric motors, generators and transformers"		"NACE Rev. 2.1 class 27.11 is mapped to NACE Rev. 2 classes 27.11, 27.12, 27.90"
"27.11"	"4"	"27.11 Manufacture of electric motors, generators and transformers"	"27.12"	"27.12 Manufacture of electricity distribution and control apparatus"		"NACE Rev. 2.1 class 27.11 is mapped to NACE Rev. 2 classes 27.11, 27.12, 27.90"
"27.11"	"4"	"27.11 Manufacture of electric motors, generators and transformers"	"27.90"	"27.90 Manufacture of other electrical equipment"		"NACE Rev. 2.1 class 27.11 is mapped to NACE Rev. 2 classes 27.11, 27.12, 27.90"
"27.12"	"4"	"27.12 Manufacture of electricity distribution and control apparatus"	"27.12"	"27.12 Manufacture of electricity distribution and control apparatus"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 27.12 is mapped to NACE Rev. 2 class 27.12"
"27.2"	"3"	"27.2 Manufacture of batteries and accumulators"	"27.2"	"27.2 Manufacture of batteries and accumulators"		"NACE Rev. 2.1 group 27.2 is mapped to NACE Rev. 2 group 27.2"
"27.20"	"4"	"27.20 Manufacture of batteries and accumulators"	"27.20"	"27.20 Manufacture of batteries and accumulators"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 27.20 is mapped to NACE Rev. 2 class 27.20"
"27.3"	"3"	"27.3 Manufacture of wiring and wiring devices"	"26.1"	"26.1 Manufacture of electronic components and boards"		"NACE Rev. 2.1 group 27.3 is mapped to NACE Rev. 2 groups 26.1, 27.3"
"27.3"	"3"	"27.3 Manufacture of wiring and wiring devices"	"27.3"	"27.3 Manufacture of wiring and wiring devices"		"NACE Rev. 2.1 group 27.3 is mapped to NACE Rev. 2 groups 26.1, 27.3"
"27.31"	"4"	"27.31 Manufacture of fibre optic cables"	"27.31"	"27.31 Manufacture of fibre optic cables"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 27.31 is mapped to NACE Rev. 2 class 27.31"
"27.32"	"4"	"27.32 Manufacture of other electronic and electric wires and cables"	"27.32"	"27.32 Manufacture of other electronic and electric wires and cables"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 27.32 is mapped to NACE Rev. 2 class 27.32"
"27.33"	"4"	"27.33 Manufacture of wiring devices"	"26.11"	"26.11 Manufacture of electronic components"		"NACE Rev. 2.1 class 27.33 is mapped to NACE Rev. 2 classes 26.11, 27.33"
"27.33"	"4"	"27.33 Manufacture of wiring devices"	"27.33"	"27.33 Manufacture of wiring devices"		"NACE Rev. 2.1 class 27.33 is mapped to NACE Rev. 2 classes 26.11, 27.33"
"27.4"	"3"	"27.4 Manufacture of lighting equipment"	"27.4"	"27.4 Manufacture of electric lighting equipment"		"NACE Rev. 2.1 group 27.4 is mapped to NACE Rev. 2 group 27.4"
"27.40"	"4"	"27.40 Manufacture of lighting equipment"	"27.40"	"27.40 Manufacture of electric lighting equipment"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 27.40 is mapped to NACE Rev. 2 class 27.40"
"27.5"	"3"	"27.5 Manufacture of domestic appliances"	"27.5"	"27.5 Manufacture of domestic appliances"		"NACE Rev. 2.1 group 27.5 is mapped to NACE Rev. 2 group 27.5"
"27.51"	"4"	"27.51 Manufacture of electric domestic appliances"	"27.51"	"27.51 Manufacture of electric domestic appliances"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 27.51 is mapped to NACE Rev. 2 class 27.51"
"27.52"	"4"	"27.52 Manufacture of non-electric domestic appliances"	"27.52"	"27.52 Manufacture of non-electric domestic appliances"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 27.52 is mapped to NACE Rev. 2 class 27.52"
"27.9"	"3"	"27.9 Manufacture of other electrical equipment"	"27.9"	"27.9 Manufacture of other electrical equipment"		"NACE Rev. 2.1 group 27.9 is mapped to NACE Rev. 2 groups 27.9, 28.4"
"27.9"	"3"	"27.9 Manufacture of other electrical equipment"	"28.4"	"28.4 Manufacture of metal forming machinery and machine tools"		"NACE Rev. 2.1 group 27.9 is mapped to NACE Rev. 2 groups 27.9, 28.4"
"27.90"	"4"	"27.90 Manufacture of other electrical equipment"	"27.90"	"27.90 Manufacture of other electrical equipment"		"NACE Rev. 2.1 class 27.90 is mapped to NACE Rev. 2 classes 27.90, 28.49"
"27.90"	"4"	"27.90 Manufacture of other electrical equipment"	"28.49"	"28.49 Manufacture of other machine tools"		"NACE Rev. 2.1 class 27.90 is mapped to NACE Rev. 2 classes 27.90, 28.49"
"28"	"2"	"28 Manufacture of machinery and equipment n.e.c."	"28"	"28 Manufacture of machinery and equipment n.e.c."		"NACE Rev. 2.1 division 28 is mapped to NACE Rev. 2 division 28"
"28.1"	"3"	"28.1 Manufacture of general-purpose machinery"	"28.1"	"28.1 Manufacture of general-purpose machinery"		"NACE Rev. 2.1 group 28.1 is mapped to NACE Rev. 2 group 28.1"
"28.11"	"4"	"28.11 Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"	"28.11"	"28.11 Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 28.11 is mapped to NACE Rev. 2 class 28.11"
"28.12"	"4"	"28.12 Manufacture of fluid power equipment"	"28.12"	"28.12 Manufacture of fluid power equipment"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 28.12 is mapped to NACE Rev. 2 class 28.12"
